LotArea	OverallQual	YearBuilt	SalePrice
12400	6	1958	155000
14191	8	2002	202900
8400	4	1950	82000
8544	3	1949	87500
8849	9	2005	266000
2592	5	1976	85000
6435	6	1939	140200
12772	6	1960	151500
17600	6	1960	157500
2448	7	2003	154000
20431	9	2005	437154
7820	9	2007	318061
5271	7	1986	190000
9084	5	1941	95000
8520	6	1928	105900
8400	6	1940	140000
11249	6	1995	177500
9248	6	1992	173000
4224	5	1976	134000
6930	5	1958	130000
12011	8	1998	280000
7540	6	1978	156000
9144	5	1940	145000
7301	7	2003	198500
1680	6	1972	118000
18800	6	1976	190000
10690	5	1920	147000
9500	6	1963	159000
9150	6	1962	165000
7800	5	1954	132000
9830	5	1959	162000
8121	6	2000	172400
17120	4	1959	134432
7175	6	1984	125000
10634	5	1953	123000
8200	7	2003	219500
10020	1	1922	61000
8846	5	1996	148000
11143	8	2004	340000
11394	9	2010	394432
8123	6	2000	179000
5000	5	1924	127000
7200	7	2006	187750
9245	7	2006	213500
9000	6	1928	76000
53107	6	1992	240000
3182	8	2004	192000
8410	5	1910	81000
7200	6	1976	125000
9382	7	1999	191000
12474	10	2007	426000
8405	5	1900	119000
12209	6	2001	215000
8339	5	1959	106500
7446	4	1941	100000
10134	5	1940	109000
9571	5	1956	129000
7200	5	1972	123000
7590	5	1962	169500
8967	5	1920	67000
8125	7	2006	241000
14963	8	1996	245500
8767	7	2005	164990
10200	5	1940	108000
12090	8	1998	258000
10364	6	1995	168000
9991	4	1976	150000
10480	6	1936	115000
15576	6	1915	177000
14154	7	2006	280000
10800	8	2007	339750
9571	5	1958	60000
34650	5	1955	145000
4403	7	2009	222000
8960	5	1927	115000
11228	7	1993	228000
8899	7	2007	181134
7844	6	1978	149500
22420	6	1918	239000
8160	5	1940	126000
8450	5	1968	142000
7060	7	1997	206300
16635	6	1977	215000
21750	5	1954	113000
9200	8	1998	315000
9000	6	1956	139000
3378	7	1946	135000
12800	7	1989	275000
8593	4	1957	109008
6762	7	2007	195400
11457	6	1988	175000
1680	6	1971	85400
5586	6	1920	79900
1920	5	1971	122500
10839	6	1997	181000
1890	4	1972	81000
10667	7	1996	212000
4400	6	1920	116000
6000	6	1926	119000
4280	5	1913	90350
12354	6	1920	110000
15431	10	2008	555000
12108	4	1955	118000
6240	5	1930	162900
3922	7	2006	172500
8750	7	1994	210000
9855	6	1956	127500
16492	6	1966	190000
11214	7	1998	199900
8600	6	1937	119500
6000	3	1948	120000
5684	6	1930	110000
70761	7	1975	280000
9303	6	1996	204000
9000	8	2008	210000
9297	5	1976	188000
9600	7	1973	175500
4571	5	1916	98000
53227	4	1954	256000
5100	8	1925	161000
7015	5	1950	110000
8004	8	2009	263435
7200	7	1936	155000
8281	5	1965	62383
11988	6	1934	188700
8430	5	1978	124000
3072	7	2004	178740
10628	7	1970	167000
9480	5	1942	146500
11428	8	2006	250000
9291	6	1993	187000
6820	8	1985	212000
11952	7	1977	190000
3675	6	2005	148000
14977	8	2006	440000
5330	8	2000	251000
8480	5	1963	132500
13125	6	1997	208900
13693	9	2006	380000
10637	8	2007	297000
5925	4	1937	89471
16033	9	2004	326000
11846	9	2003	374000
2500	7	1915	155000
4500	6	1998	164000
7758	5	1962	132500
9600	5	1950	147000
10289	5	1965	156000
12243	5	1971	175000
10800	5	1900	160000
1526	4	1970	86000
2665	5	1976	115000
9490	6	1941	133000
15578	6	2006	172785
7931	5	1960	155000
5784	5	1938	91300
7879	4	1920	34900
12692	8	1992	430000
9120	7	1925	184000
7800	5	1967	130000
7535	5	1958	120000
1890	6	1973	113000
9803	7	2005	226700
9170	5	1965	140000
15602	7	1959	289000
2308	6	1974	147000
7596	5	1952	124500
9554	8	1993	215000
7862	6	2009	208300
9600	7	1928	161000
9600	5	1959	124500
14559	5	1951	164900
6792	7	2005	202665
9100	5	1958	129900
9187	6	1983	134000
10594	5	1926	96500
12220	10	2009	402861
10448	6	1972	158000
10208	7	1996	265000
9531	6	1998	211000
10918	7	1926	234000
10800	4	1900	106250
11988	6	1957	150000
5000	6	1947	159000
40094	10	2007	184750
11787	7	1996	315750
7500	7	2005	176000
13300	5	1956	132000
14948	9	2008	446261
9098	4	1920	86000
32668	6	1957	200624
10200	6	1988	175000
6155	6	1920	128000
7200	5	1955	107500
5000	1	1946	39300
9056	8	2004	178000
7000	5	1910	107500
8924	7	1998	188000
12735	4	1972	111250
11553	5	1968	158000
11423	8	2001	272000
14601	9	2006	315000
11000	8	2000	248000
10140	7	1998	213250
4058	7	1998	133000
17104	7	2006	179665
13837	7	1988	229000
8737	6	1923	210000
7244	5	1970	129500
8235	5	1955	125000
9375	7	2003	263000
4043	6	1977	140000
6000	5	1957	112500
11146	8	2006	255500
8777	4	1949	108000
10625	7	2003	284000
6380	5	1922	113000
14850	5	1957	141000
11040	4	1920	108000
21872	7	1996	175000
3196	7	2003	234000
11341	5	1957	121500
10010	5	1974	170000
13907	5	1940	108000
21780	6	1918	185000
13346	7	1992	268000
6858	6	1915	128000
11198	9	2005	325000
10171	7	2004	214000
12327	8	1983	316600
7032	5	1979	135960
13101	5	1965	142600
7332	6	1959	120000
13159	7	2009	224500
9967	7	2000	170000
10500	5	1971	139000
8480	5	1947	118500
6292	7	1928	145000
11777	5	1966	164500
3604	7	2007	146000
12150	5	1954	131500
14585	6	1960	181900
12704	8	2008	253293
11841	6	1990	118500
13500	10	1893	325000
6120	4	1935	133000
11443	8	2005	369900
10267	6	1918	130000
8740	5	1982	137000
25095	5	1968	143000
9100	5	1930	79500
8320	7	2004	185900
13478	10	2008	451950
6600	5	1982	138000
4435	6	2003	140000
7990	5	1975	110000
11302	8	2005	319000
3600	6	1910	114504
3922	7	2006	194201
12984	5	1977	217500
1950	6	1980	151000
10927	8	2005	275000
9000	6	1937	141000
10041	8	1992	220000
3182	7	2004	151000
12803	7	2002	221000
13600	7	1965	205000
12464	5	1996	152000
7800	5	1948	225000
12168	8	1934	359100
7943	4	1961	118500
11050	9	2000	313000
10395	6	1978	148000
11885	8	2001	261500
8402	5	2007	147000
1491	4	1972	75500
8800	6	1963	137500
7861	6	2002	183200
7227	6	1954	105500
11694	9	2007	314813
12244	8	2003	305000
8248	3	1914	67000
10800	6	1974	240000
7064	5	1977	135000
2117	6	2000	168500
10400	6	1972	165150
10000	6	1962	160000
12342	5	1960	139900
9600	6	1955	153000
11606	5	1969	135000
9020	6	1964	168500
9000	5	1880	124000
4590	8	2006	209500
11900	7	1977	82500
9250	5	1954	139400
6979	6	1980	144000
10896	6	1914	200000
6120	2	1936	60000
6000	5	1954	93000
8777	5	1910	85000
3982	8	2006	264561
12677	8	2003	274000
7050	7	2001	226000
13860	8	1972	345000
10793	5	1969	152000
9187	9	2009	370878
10530	6	1971	143250
7200	5	1950	98300
10452	6	1953	155000
7700	6	1966	155000
1936	4	1970	84500
8125	7	2007	205950
9084	4	1940	108000
8750	7	1996	191000
10320	6	1906	135000
10437	8	1995	350000
1680	6	1971	88000
10007	5	1959	145500
7200	7	1931	149000
17503	6	1948	97500
9937	5	1964	167000
12384	7	1976	197900
46589	8	1994	402000
13560	6	1968	110000
10012	4	1972	137500
20896	8	2005	423000
11194	8	2000	230500
18450	6	1965	129000
8125	6	1994	193500
14175	5	1956	168000
11600	4	1922	137500
8633	6	2005	173500
6629	6	1925	103600
11250	6	1977	165000
14442	6	1957	257500
9200	6	1965	140000
2289	6	1978	148500
9600	4	1900	87000
9022	5	1924	109500
11844	8	2008	372500
9945	5	1961	128500
8012	6	1980	143000
4500	5	1932	159434
2887	6	1996	173000
11248	9	2002	285000
16770	7	1998	221000
5062	7	1984	207500
10207	7	2007	227875
5105	7	2004	148800
8089	8	2007	392000
7577	6	2005	194700
4426	6	2004	141000
21535	10	1994	755000
26178	7	1989	335000
5400	5	1921	108480
6120	5	1936	141500
13811	6	1987	176000
6000	5	1921	89000
6420	5	1952	123500
8450	5	1965	138500
4282	7	2004	196000
14331	8	2002	312500
9600	7	1969	140000
12438	8	2006	361919
7630	5	1900	140000
8400	7	2004	213000
5600	4	1930	55000
115149	7	1971	302000
6240	8	2006	254000
9018	7	2007	179540
7162	5	1966	109900
4130	3	1935	52000
8712	4	1900	102776
4671	8	1988	189000
9873	4	1970	129000
13517	6	1976	130500
10140	6	1974	165000
10800	7	1890	159500
10000	5	1973	157000
10542	7	1993	341000
9920	5	1969	128500
6563	8	1985	275000
4426	6	2004	143000
8120	4	1970	124500
8172	4	1954	135000
13286	9	2007	320000
6960	4	1970	120500
21695	6	1988	222000
7314	7	2007	194500
11475	5	1958	110000
6240	4	1925	103000
5389	8	1995	236500
9590	7	2003	187500
11404	7	1998	222500
10000	5	1961	131400
8978	5	1968	108000
10800	7	1914	163000
8544	3	1950	93500
10463	8	2005	239900
10800	5	1987	179000
9313	7	2004	190000
9600	5	1910	132000
6768	6	1961	142000
8450	7	2000	179000
12886	5	1963	175000
5395	8	1993	180000
8963	8	1976	299800
8795	7	2000	236000
11700	7	1880	265979
10593	7	1996	260400
8405	4	1945	98000
8800	4	1910	96500
7750	7	2003	162000
9236	6	1997	217000
10240	8	2005	275500
7930	6	1969	156000
3230	6	1999	172500
10769	8	2007	212000
11616	6	1978	158900
2280	7	1999	179400
12257	8	1995	290000
9100	6	1959	127500
6911	5	1924	100000
8640	7	2009	215200
9430	8	1999	337000
9549	8	1995	270000
14587	9	2008	264132
10421	7	1988	196500
12508	6	1940	160000
9100	7	2004	216837
53504	8	2003	538000
7252	5	1982	134900
8877	4	1951	102000
7819	6	1976	107000
10150	5	1958	114500
14226	8	2006	395000
4500	6	1998	162000
11210	7	2005	221500
13350	5	1974	142500
8400	5	1977	144000
10530	6	1977	135000
7875	7	1995	176000
7153	6	1992	175900
16285	7	2001	187100
9101	5	1978	165500
6300	6	1914	128000
9790	6	1967	161500
10800	5	1915	139000
10142	7	2004	233000
6000	4	1954	107900
12205	6	1966	187500
3182	7	2005	160200
11333	6	1976	146800
9920	7	1996	269790
9158	8	2007	225000
10832	7	1994	194500
8400	6	1980	171000
8197	6	1977	143500
7677	5	1953	110000
13518	9	2008	485000
7200	5	1937	175000
12798	6	1997	200000
4800	4	1916	109900
8199	7	2005	189000
13891	9	2008	582933
9000	5	1954	118000
12274	7	2008	227680
9750	5	1967	135500
21384	5	1923	223500
13400	5	1966	159950
8100	5	1898	106000
10140	6	1974	181000
4438	6	2004	144500
8712	5	1952	55993
9750	6	1958	157900
8248	5	1918	116000
12137	7	1998	224900
11425	5	1954	137000
13265	8	2002	271000
8816	6	1971	155000
6371	7	2009	224000
7226	7	2003	183000
6000	4	1953	93000
12394	7	2003	225000
9900	6	1940	139500
11216	8	2006	232600
14803	10	2007	385000
6130	5	1924	109500
8529	7	2001	189000
28698	5	1967	185000
2544	7	2005	147400
11900	6	1957	166000
3180	7	2005	151000
9548	7	2003	237000
10004	6	1964	167000
7875	5	1961	139950
9600	4	1950	128000
8100	5	1948	153500
1680	6	1973	100000
9525	5	1995	144000
11767	5	1946	130500
12155	6	1925	140000
10440	5	1904	157500
9020	6	1966	174900
8000	5	1961	141000
12665	5	1915	153900
16647	5	1975	171000
9317	7	1993	213000
15523	5	1972	133500
45600	6	1908	240000
9600	6	1976	187000
4435	6	2003	131500
3196	8	2003	215000
7128	7	1941	164000
12095	6	1964	158000
17920	5	1955	170000
6897	5	1962	127000
10970	6	1978	147000
8125	6	1994	174000
10400	7	1976	152000
11029	6	1968	250000
7642	7	1918	189950
11625	5	1965	131500
9672	6	1984	152000
7931	5	1959	132500
8640	7	2007	250580
8750	5	1970	148500
10656	8	2006	248900
6970	4	1961	129000
14762	5	1948	169000
9938	7	1993	236000
6600	5	1962	109500
8750	6	1998	200500
8892	5	1953	116000
12144	5	1949	133000
5720	5	1941	66500
9000	8	2007	303477
25286	4	1963	132250
8834	9	2004	350000
11782	5	1961	148000
7000	5	1978	136500
7024	5	2005	157000
13758	7	1990	187500
9636	6	1992	178000
6204	4	1912	118500
7150	5	1967	100000
5119	9	1999	328900
8393	5	1959	145000
16466	5	1955	135500
15865	8	1970	268000
12160	6	1953	149500
8064	5	1949	122900
11184	6	1978	172500
8414	6	1963	154500
13284	5	1954	165000
7018	5	1979	118858
7056	6	1963	140000
8765	4	1936	106500
7018	5	1979	142953
12919	9	2009	611657
6993	5	1961	135000
7340	4	1971	110000
8712	5	1957	153000
7875	7	2003	180000
14859	7	2006	240000
6173	5	1967	125500
9920	5	1954	128000
13501	8	2006	255000
11500	7	1936	250000
8885	5	1983	131000
12589	6	2005	174000
11600	5	1960	154300
9286	5	1977	143500
6120	5	1925	88000
6270	5	1949	145000
3000	6	2009	173733
2001	4	1970	75000
9000	2	1949	35311
17140	4	1956	135000
13125	7	1991	238000
11029	6	1958	176500
8462	6	1994	201000
8777	5	1900	145900
10237	6	2005	169990
8012	6	1993	193000
10240	6	1980	207500
15611	5	1977	175000
11999	8	2003	285000
9900	7	1968	176000
11838	8	2001	236500
13006	7	1997	222000
8925	8	2007	201000
9100	5	1965	117500
11670	9	2006	320000
8487	7	2004	190000
27650	7	1960	242000
5825	4	1926	79900
10083	7	2003	184900
9675	7	2005	253000
8760	7	2006	239799
24090	7	1940	244400
12640	6	1976	150900
8755	7	1999	214000
7711	4	1977	150000
25000	5	1967	143000
14375	6	1958	137500
8820	5	1890	124900
8163	5	1959	143000
14536	8	2002	270000
14006	7	2002	192500
9360	6	1972	197500
7200	5	1950	129000
7800	5	1965	119900
7200	5	1972	133900
11075	5	1969	172000
9400	6	1975	127500
7136	6	1946	145000
1300	6	1980	124000
7420	5	1962	132000
8450	7	2003	185000
2572	7	1999	155000
7207	5	1958	116500
12227	6	1977	272000
2308	6	1976	155000
11923	9	2007	239000
11316	7	2002	214900
10237	6	2005	178900
9600	5	1940	160000
7390	5	1955	135000
5925	3	1910	37900
10382	6	1958	140000
10800	4	1949	135000
2268	7	2003	173000
7892	6	1979	99500
11639	7	2007	182000
11414	7	1910	167500
2651	7	2000	165000
5900	4	1923	85500
4274	7	2006	199900
9450	4	1954	110000
8816	5	1963	139000
12122	7	1961	178400
12203	8	1998	336000
3182	7	2007	159895
11250	8	2002	255900
10125	5	1977	126000
10880	5	1950	125000
5310	6	1910	117000
10159	9	2009	395192
12046	6	1976	195000
8125	7	2006	197000
9452	8	1997	348000
17671	8	1882	168000
9760	6	1964	187000
8846	6	2005	173900
12456	10	2006	337500
4712	4	1946	121600
10659	5	1961	136500
11717	6	1970	185000
9786	3	1922	91000
6762	7	2006	206000
10206	3	1952	82000
5400	5	1920	86000
11957	8	2006	232000
11500	5	1976	136905
3182	7	2005	181000
8385	5	1977	149900
12155	6	1970	163500
2217	4	1970	88000
12118	7	2004	240000
6000	5	1926	102000
21286	5	1948	135000
9825	5	1965	100000
10592	6	1923	165000
7200	5	1910	85000
11664	6	1948	119200
8400	8	2001	227000
11883	7	1996	203000
5814	8	1984	187500
10784	7	1991	160000
3013	7	2005	213490
7024	4	2005	176000
7406	7	2006	194000
9439	5	1930	87000
3182	7	2005	191000
15498	8	1976	287000
7700	5	1972	112500
9300	5	1960	167500
9520	8	2007	293077
9492	5	1941	105000
1680	6	1972	118000
7082	5	1916	160000
15863	7	1920	197000
14541	8	1993	310000
8125	7	2002	230000
6305	5	1938	119750
11500	4	1957	84000
12898	9	2007	315500
9240	8	2001	287000
1533	4	1970	97000
1477	4	1970	80000
13125	5	1957	155000
9130	6	1966	173000
5381	6	2005	196000
11839	7	1990	262280
9600	8	1981	278000
13680	3	1955	139600
16056	9	2005	556581
9245	5	1994	145000
21750	5	1960	115000
11100	4	1946	84900
8993	7	2007	176485
11175	7	2007	200141
9500	6	1964	165000
8562	5	1957	144500
11367	8	2002	255000
11361	6	1976	180000
7052	7	2005	185850
29959	7	1994	248000
11308	9	2008	335000
11275	6	1932	220000
4920	8	2001	213500
18000	3	1935	81000
13600	5	1900	90000
6000	6	1925	110500
11000	5	1966	154000
14000	7	1996	328000
7837	6	1993	178000
9760	6	1964	167900
3964	6	1973	151400
9600	5	1949	135000
10152	5	1956	135000
11700	6	1968	154000
7585	5	1948	91500
7950	6	1977	159500
8556	7	2006	194000
13125	7	1940	219500
10800	5	1936	170000
15870	5	1969	138800
4435	6	2004	155900
8775	5	1994	126000
11040	6	1971	145000
7500	5	1963	133000
8749	7	2002	192000
8800	6	1964	160000
13031	6	1995	187500
9069	6	1992	147000
1974	4	1973	83500
10574	8	2005	252000
2522	7	2004	137500
3316	8	2005	197000
8544	3	1950	92900
2160	7	1999	160000
8400	6	1925	136500
9230	5	1965	146000
5868	5	1956	129000
9317	6	2006	176432
6882	6	1914	127000
3696	8	1986	170000
6000	4	1936	128000
11880	7	1978	157000
8400	2	1920	60000
9758	5	1971	119500
7000	5	1960	135000
8910	6	1959	159500
2016	5	1970	106000
12256	8	1994	325000
10357	7	1990	179900
23257	7	2006	274725
8063	6	2000	181000
11362	8	2004	280000
8000	6	1995	188000
10480	7	1976	205000
7100	5	1957	129900
8923	5	1953	134500
5400	5	1954	117000
12085	8	2007	318000
7750	8	2002	184100
9764	5	1967	130000
13825	5	1958	140000
7560	5	1959	133700
8263	6	1920	118400
10084	7	2005	212900
8926	4	1956	112000
9405	5	1947	118000
9125	7	1992	163900
10434	4	1955	115000
3684	7	2007	174000
14572	7	2004	259000
11796	7	2004	215000
7200	5	1980	140000
7804	4	1928	135000
10712	5	1991	93500
9900	6	1880	117500
9828	8	1995	239500
8773	6	1997	169000
6180	6	1926	102000
9600	6	1950	119000
6342	5	1875	94000
9819	6	1977	196000
8731	5	1920	144000
7350	5	1951	139000
10304	5	1976	197500
9965	8	2006	424870
9000	5	1959	80000
12180	4	1941	80000
6240	5	1928	149000
11200	6	1985	180000
12000	7	1941	174500
5700	7	1926	116900
9000	7	1920	143000
8280	6	1950	124000
17755	5	1959	149900
14115	6	1956	230000
5890	6	1930	120500
13700	7	1965	201800
10768	5	1976	218000
9350	5	1965	179900
5001	7	2007	230000
11932	8	2007	235128
9120	6	1974	185000
2280	6	1978	146000
14778	6	1954	224000
8724	5	1968	129000
12900	4	1969	108959
16157	5	1978	194000
9541	7	2009	233170
10475	8	2008	245350
10852	6	2000	173000
13728	6	1935	235000
35760	10	1995	625000
9880	6	1977	171000
9120	6	1958	163000
4017	7	2006	171900
18030	5	1946	200500
16560	6	1932	239000
10678	8	1992	285000
6951	5	1984	119500
3950	6	1926	115000
7681	5	1921	154900
8335	5	1954	93000
11170	7	1990	250000
5587	8	2008	392500
15623	10	1996	745000
10800	5	1920	120000
35133	5	1963	186700
9738	5	1924	104900
10615	3	1900	95000
12461	8	1994	262000
8935	7	2002	195000
7500	7	1999	189000
32463	4	1961	168000
2645	8	1999	174000
9600	5	1925	125000
4500	6	1999	165000
9364	6	1969	158000
8029	6	2005	176000
14054	7	2006	219210
8850	7	1916	144000
9100	7	2001	178000
11235	4	1963	148000
9353	4	1970	116050
10400	7	1998	197900
6000	5	1925	117000
9750	7	2000	213000
10140	5	1975	153500
14684	7	1990	271900
8900	4	1966	107000
9135	6	2003	200000
7763	5	1962	140000
10182	8	2006	290000
11218	6	1992	189000
12134	8	1988	164000
9340	4	1941	113000
10246	4	1965	145000
10205	5	1962	134500
7094	5	1966	125000
8930	6	1978	112000
8640	8	2009	229456
6240	4	1947	80500
1680	6	1971	91500
7800	5	1964	115000
8250	5	1968	134000
10496	6	1949	143000
10680	5	1951	137900
15384	7	2004	184000
10482	6	1958	145000
14598	6	2007	214000
8872	5	1965	147000
8769	9	2008	367294
7910	5	1960	127000
18890	5	1977	190000
7728	5	1962	132500
9842	4	1962	101800
12160	5	1959	142000
8525	5	1911	130000
13132	5	1914	138887
2628	7	2003	175500
12393	7	2004	195000
13072	6	2005	142500
9037	8	2006	265900
8158	7	2003	224900
9849	7	2007	248328
10625	7	1974	170000
13891	10	2006	465000
11435	8	1929	230000
12090	6	1984	178000
8125	7	2005	186500
12328	6	1976	169900
9600	6	1917	129500
7200	5	1950	119000
11160	7	1968	244000
3136	7	2003	171750
9858	5	1968	130000
17542	7	1974	294000
6931	7	2003	165400
6240	6	1931	127500
14303	8	1994	301500
4060	5	1922	99900
9587	7	2005	190000
9750	6	1969	151000
24682	6	1999	181000
9600	5	1956	128900
11250	4	1957	161500
13515	6	1919	180500
4060	6	1998	181000
3735	7	1999	183900
10120	7	1910	122000
13214	9	2008	378500
